序号,场所名称,检验检测场所地址,领域,类别,检测对象,参数,依据的标准（方法）名称及编号（含年号）,限制范围,说明
1,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,深油炸锅、油煎锅及类似器具,结构,家用和类似用途电器的安全 深油炸锅、油煎锅及类似器具的特殊要求GB 4706.56-2008,,
2,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,手提灯,外部和内部接线,灯具 第2-8部分:特殊要求 手提灯GB 7000.208-2008,,
3,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,正常工作温升,电玩具的安全GB 19865-2005,,
4,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,实验型玩具,电玩具的安全GB 19865-2005,,
5,某检测技术服务有限公司,实际地址,产品质量检验,婴幼产品-玩具,电玩具,室温下的电气强度,电玩具的安全GB 19865-2005,,
6,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,内部布线,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
7,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,发热,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,不测：三相器具,
8,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,变压器和相关电路的过载保护,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,不测：三相器具,
9,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,外部导线用接线端子,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
10,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,对触及带电部件的防护,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
11,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,不测：三相器具,
12,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,接地措施,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
13,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,机械强度,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
14,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,标志和说明,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
15,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,泄漏电流和电气强度,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
16,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
17,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,电源连接和外部软线,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
18,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,稳定性和机械危险,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
19,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,结构,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
20,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,耐潮湿,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,不测：100cm×100cm×100cm以上的样品,
21,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,耐热和耐燃,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,不测：三相器具,
22,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,螺钉和连接,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,,
23,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,输入功率和电流,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,不测：三相器具,
24,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,衣物干燥机和毛巾架,非正常工作,家用和类似用途电器的安全 衣物干燥机和毛巾架的特殊要求GB 4706.60-2008,不测：三相器具,
25,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,道路与街路照明灯具,外部接线和内部接线,灯具 第2-3部分：特殊要求 道路与街路照明灯具GB 7000.203-2013,,
26,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,道路与街路照明灯具,接地规定,灯具 第2-3部分：特殊要求 道路与街路照明灯具GB 7000.203-2013,,
27,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,道路与街路照明灯具,标记,灯具 第2-3部分：特殊要求 道路与街路照明灯具GB 7000.203-2013,,
28,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,道路与街路照明灯具,爬电距离和电气间隙,灯具 第2-3部分：特殊要求 道路与街路照明灯具GB 7000.203-2013,,
29,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,道路与街路照明灯具,结构,灯具 第2-3部分：特殊要求 道路与街路照明灯具GB 7000.203-2013,不测同 GB7000.1-2015,
30,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,道路与街路照明灯具,绝缘电阻和电气强度,灯具 第2-3部分：特殊要求 道路与街路照明灯具GB 7000.203-2013,,
31,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,道路与街路照明灯具,耐久性试验和热试验,灯具 第2-3部分：特殊要求 道路与街路照明灯具GB 7000.203-2013,不测：100cm×100cm×100cm以上的样品的耐久性试验,
32,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,道路与街路照明灯具,耐热、耐火和耐起痕,灯具 第2-3部分：特殊要求 道路与街路照明灯具GB 7000.203-2013,,
33,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,道路与街路照明灯具,防尘和防水,灯具 第2-3部分：特殊要求 道路与街路照明灯具GB 7000.203-2013,不测：100cm×100cm×100cm以上的样品的潮湿试验,
34,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,道路与街路照明灯具,防触电保护,灯具 第2-3部分：特殊要求 道路与街路照明灯具GB 7000.203-2013,,
35,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,内部布线,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器,
36,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,发热,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器、三相器具,
37,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,变压器和相关电路的过载保护,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器、三相器具,
38,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,外部导线用接线端子,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器,
39,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,对触及带电部件的防护,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器,
40,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器、三相器具,
41,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,接地措施,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器,
42,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,机械强度,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器,
43,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,标志和说明,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器,
44,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,泄漏电流和电气强度,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器,
45,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器,
46,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,电源连接和外部软线,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器,
47,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,稳定性和机械危险,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器,
48,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,结构,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器、22.105热冲击,
49,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,耐潮湿,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器、100cm×100cm×100cm以上的样品,
50,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,耐热和耐燃,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器、三相器具,
51,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,螺钉和连接,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器,
52,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,输入功率和电流,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器、三相器具,
53,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,室内加热器,非正常工作,家用和类似用途电器的安全 第2部分：室内加热器的特殊要求GB 4706.23-2007,不测：嵌入式加热器、三相器具,
54,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,内部布线,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
55,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,发热,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇、三相器具,
56,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,变压器和相关电路的过载保护,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇、三相器具,
57,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,外部导线用接线端子,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
58,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,对触及带电部件的防护,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
59,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇、三相器具,
60,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,接地措施,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
61,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,机械强度,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
62,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,标志和说明,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
63,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,泄漏电流和电气强度,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
64,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
65,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,电源连接和外部软线,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
66,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,稳定性和机械危险,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
67,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,结构,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
68,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,耐潮湿,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇、100cm×100cm×100cm以上的样品,
69,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,耐热和耐燃,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇、三相器具,
70,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,螺钉和连接,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇,
71,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,输入功率和电流,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇、三相器具,
72,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,风扇,非正常工作,家用和类似用途电器的安全 第2部分：风扇的特殊要求GB 4706.27-2008,不测： 管道扇、隔墙扇、热带气候使用的风扇、三相器具,
73,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,可移式通用灯具,外部接线和内部接线,灯具 第2-4部分:特殊要求 可移式通用灯具GB 7000.204-2008,,
74,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,可移式通用灯具,接地规定,灯具 第2-4部分:特殊要求 可移式通用灯具GB 7000.204-2008,,
75,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,可移式通用灯具,标记,灯具 第2-4部分:特殊要求 可移式通用灯具GB 7000.204-2008,,
76,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,可移式通用灯具,爬电距离和电气间隙,灯具 第2-4部分:特殊要求 可移式通用灯具GB 7000.204-2008,,
77,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,可移式通用灯具,结构,灯具 第2-4部分:特殊要求 可移式通用灯具GB 7000.204-2008,不测同 GB7000.1-2015,
78,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,可移式通用灯具,绝缘电阻和电气强度,灯具 第2-4部分:特殊要求 可移式通用灯具GB 7000.204-2008,,
79,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,可移式通用灯具,耐久性试验和热试验,灯具 第2-4部分:特殊要求 可移式通用灯具GB 7000.204-2008,不测：100cm×100cm×100cm以上的样品的耐久性试验,
80,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,可移式通用灯具,耐热、耐火和耐起痕,灯具 第2-4部分:特殊要求 可移式通用灯具GB 7000.204-2008,,
81,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,可移式通用灯具,防尘、防固体异物和防水,灯具 第2-4部分:特殊要求 可移式通用灯具GB 7000.204-2008,不测：100cm×100cm×100cm以上的样品的潮湿试验,
82,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,可移式通用灯具,防触电保护,灯具 第2-4部分:特殊要求 可移式通用灯具GB 7000.204-2008,,
83,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,内部布线,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：除水族箱泵、花园池塘泵、搁置式喷泉泵以外的泵,
84,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,发热,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：除水族箱泵、花园池塘泵、搁置式喷泉泵以外的泵、三相器具,
85,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,变压器和相关电路的过载保护,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：除水族箱泵、花园池塘泵、搁置式喷泉泵以外的泵、三相器具,
86,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,外部导线用接线端子,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：除水族箱泵、花园池塘泵、搁置式喷泉泵以外的泵,
87,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,对触及带电部件的防护,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：除水族箱泵、花园池塘泵、搁置式喷泉泵以外的泵,
88,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：除水族箱泵、花园池塘泵、搁置式喷泉泵以外的泵、三相器具,
89,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,接地措施,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：除水族箱泵、花园池塘泵、搁置式喷泉泵以外的泵,
90,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,机械强度,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：除水族箱泵、花园池塘泵、搁置式喷泉泵以外的泵,
91,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,标志和说明,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：除水族箱泵、花园池塘泵、搁置式喷泉泵以外的泵,
92,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,泄漏电流和电气强度,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：除水族箱泵、花园池塘泵、搁置式喷泉泵以外的泵,
93,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：除水族箱泵、花园池塘泵、搁置式喷泉泵以外的泵,
94,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,泵,电源连接和外部软线,家用和类似用途电器的安全 泵的特殊要求GB 4706.66-2008,不测：沐浴推进泵;电源线弯折试验,
